Agent_id,status,lost_reason,budget,lease,source,source_city,source_country,utm_source,utm_medium,des_city,des_country,room_type,lead_id,cat_lease,cat_budget
80,0,21,150,42,126,2534,163,20,3,18,8,3,15482,1,4
103,0,16,0,0,199,2723,163,20,3,26,8,5,3091,5,5
13,0,29,0,22,127,2028,99,20,3,199,8,5,18367,0,5
13,0,25,0,0,164,999,163,9,3,194,8,5,12967,5,5
25,0,29,210,0,126,2195,163,20,3,111,8,0,15482,5,0
70,0,16,0,22,136,1306,99,20,3,73,8,5,18367,0,5
5,0,2,0,0,164,953,161,20,3,160,8,5,23038,5,5
20,0,15,0,22,127,2921,163,20,3,81,8,5,12967,0,5
91,0,21,150,42,126,503,163,20,3,18,8,3,5570,1,4
25,0,29,150,42,126,2913,163,20,3,111,8,0,4782,1,4
34,0,21,210,52,126,2377,163,20,3,109,8,0,1987,2,0
69,0,16,0,52,127,2452,99,20,3,146,8,5,7914,2,5
69,0,21,0,52,127,2554,31,20,3,194,8,5,608,2,5
20,0,15,0,42,127,854,99,20,3,69,8,5,4782,1,5
106,0,29,90,0,126,2943,167,20,3,87,8,3,1987,5,5
106,0,8,90,42,126,716,163,20,3,87,8,3,7914,1,5
20,0,15,0,52,4,3344,99,20,3,133,8,5,2316,2,5
103,0,20,90,42,126,2723,163,20,3,91,8,3,4225,1,5
77,0,21,90,52,126,327,163,20,3,165,8,3,22164,2,5
47,0,10,90,52,280,638,99,20,3,87,8,3,20630,2,5
46,0,5,210,42,126,2767,163,20,3,194,8,0,23696,1,0
77,0,21,180,51,126,2605,99,20,3,18,8,3,6421,2,4
14,0,20,90,42,126,1322,174,20,3,98,8,0,3282,1,5
111,0,10,210,52,126,3136,163,20,3,91,8,3,2670,2,0
106,0,29,0,0,199,778,31,20,3,91,8,5,5957,5,5
65,0,10,0,52,280,1292,163,20,3,186,8,0,12923,2,5
62,0,18,210,22,280,3338,163,20,3,6,8,2,11805,0,0
74,0,8,150,42,126,1885,163,20,3,26,8,2,14628,1,4
20,0,15,0,0,164,3624,163,20,3,81,8,5,24868,5,5
20,0,15,0,0,164,1584,163,20,3,81,8,5,13162,5,5
61,0,10,90,0,126,3868,163,20,3,194,8,2,5957,5,5
20,0,15,0,0,164,1461,178,20,3,69,8,5,18451,5,5
6,0,24,0,0,164,2544,163,20,3,73,8,5,2745,5,5
7,0,18,90,9,126,1753,163,20,3,87,8,2,13766,5,5
20,0,15,0,52,127,2520,163,3,3,198,8,5,2745,2,5
12,0,21,90,42,126,2139,163,3,3,130,8,2,15009,1,5
