Agent_id,lost_reason,source,source_city,source_country,utm_source,utm_medium,des_city,des_country,room_type,lead_id,cat_lease,cat_budget,lead_score
14,25,199,3722,163,9,3,187,8,5,13739,5,5,1.5661521194525958
21,0,126,3868,163,20,3,151,8,3,23466,2,0,0.0013455023576578499
32,26,126,1227,163,3,3,18,8,0,22324,2,4,48.40194865932015
20,15,232,799,176,24,56,133,8,5,15962,5,5,0.006753333535799451
30,11,126,1775,162,20,3,109,8,3,6936,1,0,0.34452642344216056
12,15,126,250,163,20,3,29,8,0,24793,1,4,1.6057335943037068
20,15,280,2848,99,17,35,133,8,0,2457,1,5,0.038289015474656275
28,20,126,4085,163,20,3,87,8,1,13246,1,5,1.7273342237014284
40,21,126,1784,163,20,3,148,8,0,15264,5,5,2.1406345635172093
20,17,127,3832,163,3,3,137,8,5,3780,1,5,2.3887999340158768
28,21,18,4173,180,15,24,61,8,5,2095,5,5,17.388607271512367
98,21,126,1765,163,3,3,6,8,3,19644,2,5,10.388800747148382
51,15,126,3338,163,20,3,6,8,0,19713,0,4,0.6416764130187184
77,30,164,1306,99,24,56,165,8,5,12375,4,5,3.0856157113942384
13,7,199,2936,163,20,3,160,8,5,958,5,5,0.015081340857072901
40,10,164,2628,99,20,30,194,8,5,26315,5,5,0.00726028475752608
3,20,126,1154,163,20,3,18,8,3,13613,2,4,11.784446159191209
20,15,280,1157,175,20,3,14,8,1,1182,5,4,0.2577120738523997
78,26,126,78,163,20,3,130,8,0,20039,2,4,10.309989227792288
91,21,126,1396,99,17,35,111,8,0,19753,5,5,1.438128015273904
69,7,126,2619,99,20,3,87,8,1,11069,0,5,0.12252238359327303
80,21,199,136,163,20,3,18,8,5,2564,5,5,5.638110420053801
3,23,126,1170,163,20,3,26,8,0,17097,1,4,19.663453303785513
20,22,127,2174,174,20,3,142,3,5,14836,2,5,3.05335580148744
62,20,232,3962,163,3,3,194,8,5,3925,5,5,0.26915885854223814
12,0,126,2333,167,20,3,35,8,0,15256,1,0,0.014643617890445307
91,21,126,3868,163,20,3,165,8,3,6000,1,4,0.9581401350163015
41,20,126,3868,163,3,3,165,8,0,25504,1,5,0.8892447722650351
20,15,245,1154,163,20,3,104,8,5,23356,1,5,0.052915713452957175
112,10,126,3338,163,20,3,6,8,1,25081,2,5,0.05276997697827425
20,15,280,2511,99,20,3,133,8,0,727,1,4,0.15124107678601018
62,2,126,3528,163,20,3,18,8,0,14582,1,4,0.013131593225972769
103,21,126,2943,167,20,3,109,8,0,1660,0,4,2.7173646567310574
7,25,126,3685,138,20,3,151,8,0,12762,5,5,7.873601724984894
98,20,126,2028,99,20,3,194,8,3,5157,2,6,2.5423992931527812
5,20,232,2534,163,20,3,18,8,5,7789,5,5,1.452831314843194
20,15,232,718,27,20,30,133,8,5,9851,5,5,0.3762222237732988
20,15,164,1461,178,20,3,69,8,5,8591,5,5,0.6592071950562949
11,16,126,2848,99,20,3,194,8,1,12834,5,5,0.8344115658402071
14,7,259,2605,99,20,3,194,8,5,19454,2,5,0.003000800405676342
92,24,126,726,174,20,3,194,8,0,20880,0,5,1.7031790998639909
47,20,126,1527,99,20,3,18,8,1,9613,2,5,20.690532916016345
7,16,126,1384,8,20,3,111,8,0,12432,1,5,13.425109840634287
21,16,280,190,145,17,28,29,8,0,24862,5,4,0.06069563424304117
62,16,126,2951,163,20,3,73,8,0,3943,1,4,1.2249637412531886
4,29,164,2943,167,24,56,84,8,5,14000,5,5,1.961688508332157
79,2,18,4173,180,15,24,151,8,5,24759,5,5,0.003521799976786644
102,29,127,3315,163,3,3,151,8,5,1652,5,5,32.04126875194561
109,30,164,2628,99,24,56,6,8,5,23782,5,5,3.5265995419851466
61,15,164,2049,99,20,3,191,8,5,12029,2,4,0.26861250982817836
65,20,126,2121,99,20,3,109,8,0,11684,1,5,5.5398018671754405
91,21,199,49,163,20,3,18,8,5,15417,5,5,2.312339230022509
28,16,126,1264,31,20,3,194,8,0,25460,0,5,1.5925741264414595
41,29,126,3172,163,20,3,165,8,0,8377,5,5,16.09265619376264
70,25,232,1753,163,9,3,87,8,5,14323,5,5,2.698963274594047
57,25,126,956,45,20,3,111,8,1,8594,0,4,55.15095879374379
5,30,126,1844,163,20,3,18,8,0,10875,1,4,71.8009545870787
57,16,127,1306,99,20,3,186,8,5,2474,5,5,1.89252436373261
